Continuum,File,MeanF0,Duration   ,Gender,Section
1,female1,211.7555855,0.930121878,Female,1
1,female1,200.443942,0.930121878,Female,2
1,female1,192.8165025,0.930121878,Female,3
1,female1,,0.930121878,Female,4
1,female1,,0.930121878,Female,5
1,female1,,0.930121878,Female,6
1,female1,,0.930121878,Female,7
1,female1,249.2949523,0.930121878,Female,8
1,female1,234.2144516,0.930121878,Female,9
1,female1,215.4516782,0.930121878,Female,10
1,female1,,0.930121878,Female,11
1,female1,192.9180346,0.930121878,Female,12
1,female1,189.6731959,0.930121878,Female,13
1,female1,182.0901988,0.930121878,Female,14
1,female1,175.6095705,0.930121878,Female,15
1,female1,171.8044037,0.930121878,Female,16
1,female1,172.9790472,0.930121878,Female,17
1,female1,174.1250447,0.930121878,Female,18
1,female1,185.051417,0.930121878,Female,19
1,female1,202.1642253,0.930121878,Female,20
10,female10,202.3994176,0.778890201,Female,1
10,female10,195.9144877,0.778890201,Female,2
10,female10,195.8906321,0.778890201,Female,3
10,female10,,0.778890201,Female,4
10,female10,,0.778890201,Female,5
10,female10,,0.778890201,Female,6
10,female10,,0.778890201,Female,7
10,female10,218.4991166,0.778890201,Female,8
10,female10,211.2423442,0.778890201,Female,9
10,female10,195.9139558,0.778890201,Female,10
10,female10,,0.778890201,Female,11
10,female10,,0.778890201,Female,12
10,female10,242.5507262,0.778890201,Female,13
10,female10,251.0959703,0.778890201,Female,14
10,female10,264.6535423,0.778890201,Female,15
10,female10,278.8193812,0.778890201,Female,16
10,female10,292.7160146,0.778890201,Female,17
10,female10,304.1995448,0.778890201,Female,18
10,female10,313.8317746,0.778890201,Female,19
10,female10,328.4728809,0.778890201,Female,20
11,female11,201.2204491,0.749257143,Female,1
11,female11,194.1275097,0.749257143,Female,2
11,female11,196.4994363,0.749257143,Female,3
11,female11,,0.749257143,Female,4
11,female11,,0.749257143,Female,5
11,female11,,0.749257143,Female,6
11,female11,,0.749257143,Female,7
11,female11,212.5705234,0.749257143,Female,8
11,female11,207.5249345,0.749257143,Female,9
11,female11,195.5408377,0.749257143,Female,10
11,female11,195.0585302,0.749257143,Female,11
11,female11,,0.749257143,Female,12
11,female11,247.360733,0.749257143,Female,13
11,female11,256.1458669,0.749257143,Female,14
11,female11,271.9606214,0.749257143,Female,15
11,female11,288.2823815,0.749257143,Female,16
11,female11,304.0772163,0.749257143,Female,17
11,female11,317.0214764,0.749257143,Female,18
11,female11,326.7894606,0.749257143,Female,19
11,female11,338.8253331,0.749257143,Female,20
12,female12,198.9828649,0.7239296,Female,1
12,female12,192.9360249,0.7239296,Female,2
12,female12,198.5932517,0.7239296,Female,3
12,female12,,0.7239296,Female,4
12,female12,,0.7239296,Female,5
12,female12,,0.7239296,Female,6
12,female12,,0.7239296,Female,7
12,female12,212.2984596,0.7239296,Female,8
12,female12,204.2978938,0.7239296,Female,9
12,female12,193.7020936,0.7239296,Female,10
12,female12,196.5694074,0.7239296,Female,11
12,female12,,0.7239296,Female,12
12,female12,253.1592141,0.7239296,Female,13
12,female12,260.720754,0.7239296,Female,14
12,female12,279.0751625,0.7239296,Female,15
12,female12,297.4678979,0.7239296,Female,16
12,female12,315.4145741,0.7239296,Female,17
12,female12,329.9280216,0.7239296,Female,18
12,female12,340.2204351,0.7239296,Female,19
12,female12,351.642616,0.7239296,Female,20
2,female2,210.2871177,0.908688048,Female,1
2,female2,199.3931628,0.908688048,Female,2
2,female2,195.0722235,0.908688048,Female,3
2,female2,,0.908688048,Female,4
2,female2,,0.908688048,Female,5
2,female2,,0.908688048,Female,6
2,female2,,0.908688048,Female,7
2,female2,244.7640813,0.908688048,Female,8
2,female2,231.2051944,0.908688048,Female,9
2,female2,214.9038162,0.908688048,Female,10
2,female2,,0.908688048,Female,11
2,female2,,0.908688048,Female,12
2,female2,195.9585149,0.908688048,Female,13
2,female2,190.983117,0.908688048,Female,14
2,female2,186.5761719,0.908688048,Female,15
2,female2,184.3798442,0.908688048,Female,16
2,female2,186.639053,0.908688048,Female,17
2,female2,188.8144218,0.908688048,Female,18
2,female2,198.8360535,0.908688048,Female,19
2,female2,216.2803655,0.908688048,Female,20
3,female3,209.4976935,0.884205459,Female,1
3,female3,199.062935,0.884205459,Female,2
3,female3,194.0130695,0.884205459,Female,3
3,female3,,0.884205459,Female,4
3,female3,,0.884205459,Female,5
3,female3,,0.884205459,Female,6
3,female3,,0.884205459,Female,7
3,female3,244.7048806,0.884205459,Female,8
3,female3,230.2969096,0.884205459,Female,9
3,female3,216.4792405,0.884205459,Female,10
3,female3,,0.884205459,Female,11
3,female3,,0.884205459,Female,12
3,female3,202.3631148,0.884205459,Female,13
3,female3,200.2485102,0.884205459,Female,14
3,female3,197.4670571,0.884205459,Female,15
3,female3,196.7619662,0.884205459,Female,16
3,female3,199.5143985,0.884205459,Female,17
3,female3,203.2183951,0.884205459,Female,18
3,female3,210.1317753,0.884205459,Female,19
3,female3,227.527059,0.884205459,Female,20
4,female4,208.1192223,0.86540849,Female,1
4,female4,198.0475043,0.86540849,Female,2
4,female4,199.1804967,0.86540849,Female,3
4,female4,,0.86540849,Female,4
4,female4,,0.86540849,Female,5
4,female4,,0.86540849,Female,6
4,female4,,0.86540849,Female,7
4,female4,238.1713561,0.86540849,Female,8
4,female4,226.7188766,0.86540849,Female,9
4,female4,212.6421435,0.86540849,Female,10
4,female4,,0.86540849,Female,11
4,female4,,0.86540849,Female,12
4,female4,208.2557858,0.86540849,Female,13
4,female4,208.3775234,0.86540849,Female,14
4,female4,207.676146,0.86540849,Female,15
4,female4,208.9591572,0.86540849,Female,16
4,female4,213.0098269,0.86540849,Female,17
4,female4,217.7504014,0.86540849,Female,18
4,female4,224.9894839,0.86540849,Female,19
4,female4,241.7661314,0.86540849,Female,20
5,female5,207.1028064,0.858397881,Female,1
5,female5,197.7296889,0.858397881,Female,2
5,female5,198.427352,0.858397881,Female,3
5,female5,,0.858397881,Female,4
5,female5,,0.858397881,Female,5
5,female5,,0.858397881,Female,6
5,female5,,0.858397881,Female,7
5,female5,234.572729,0.858397881,Female,8
5,female5,222.9776281,0.858397881,Female,9
5,female5,209.0918787,0.858397881,Female,10
5,female5,,0.858397881,Female,11
5,female5,,0.858397881,Female,12
5,female5,213.8661892,0.858397881,Female,13
5,female5,216.2904698,0.858397881,Female,14
5,female5,218.2099834,0.858397881,Female,15
5,female5,221.4567537,0.858397881,Female,16
5,female5,227.4208067,0.858397881,Female,17
5,female5,232.6718035,0.858397881,Female,18
5,female5,242.5011534,0.858397881,Female,19
5,female5,258.7565447,0.858397881,Female,20
6,female6,206.0038007,0.829285498,Female,1
6,female6,196.9349104,0.829285498,Female,2
6,female6,196.4946947,0.829285498,Female,3
6,female6,,0.829285498,Female,4
6,female6,,0.829285498,Female,5
6,female6,,0.829285498,Female,6
6,female6,,0.829285498,Female,7
6,female6,232.6565085,0.829285498,Female,8
6,female6,221.9232605,0.829285498,Female,9
6,female6,208.6391116,0.829285498,Female,10
6,female6,,0.829285498,Female,11
6,female6,,0.829285498,Female,12
6,female6,218.7199169,0.829285498,Female,13
6,female6,223.702459,0.829285498,Female,14
6,female6,227.3637985,0.829285498,Female,15
6,female6,232.4448836,0.829285498,Female,16
6,female6,239.1557171,0.829285498,Female,17
6,female6,246.2423767,0.829285498,Female,18
